,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15,topic16
0,enzyme activity,preventable diseases,trafficking victims,reduce poverty,developing countries,global unemployment,urbanization,primary education,agriculture,biodiversity loss,gender equality,marine ecosystems,water sanitation,climate change,renewable energy,income countries,sustainable use
1,biochemical,mortality rates,human trafficking,poverty reduction,economic infrastructure,economic development,urban populations,schooling,resilient agricultural,biodiversity,gender inequality,fisheries,sanitation management,climate finance,energy efficiency,developing countries,sustainable consumption
2,biochemistry,mortality rate,human rights,extreme poverty,economic development,developing countries,rapid urbanization,education,agricultural sector,key biodiversity,gender pay,marine pollution,managed sanitation,global warming,energy consumption,economic development,sustainability
3,phosphoglyceric acid,neonatal mortality,international law,ending poverty,global economy,income countries,urban population,secondary education,agricultures,conservation efforts,reproductive health,marine biodiversity,sanitation,climate related,modern renewable,developed countries,sustainable
4,enzymes,premature mortality,trafficking,poverty,economic growth,youth employment,urban sprawl,primary schools,agricultural,deforestation,inclusive societies,marine environment,sanitation services,climate,renewables,global economy,sustainable development
5,amino acid,maternal mortality,detainees,poverty line,developed countries,global economy,urban areas,developing countries,agricultural productivity,reforestation,sexual exploitation,coastal ecosystems,sanitation facilities,sustainable development,sustainable use,gdp,waste generation
6,pharmacological,mortality,rights institutions,disadvantaged,economies,gdp,urbanized,quality education,nutrition,ecosystem,sexual violence,ocean acidification,improved sanitation,global carbon,clean energy,remittances,material consumption
7,enzyme,health coverage,developing countries,developing countries,gdp,labour market,human settlements,literacy,malnutrition,forest management,gender,coastal eutrophication,water scarcity,greenhouse gas,sustainable consumption,poverty reduction,reliable sustainable
8,amino acids,public health,crimes,income countries,industrializing,labour productivity,unplanned urban,educational,crops,ecological,females,fishery,basic sanitation,environmental impact,renewable,per capita,environmental impact
9,aminoacylation,child health,prison population,social protection,product gdp,economic growth,sustainable development,poverty reduction,food production,land degradation,female genital,marine resources,water resources,developing countries,sustainable,economically,environmental degradation
10,dehydrogenase,premature deaths,inclusive societies,livelihoods,sustainable development,real gdp,sanitation facilities,reduce poverty,food security,conservation,discriminatory laws,oceans seas,water sector,green climate,sustainable development,developed country,environmentally
11,phosphatase,universal health,african countries,welfare,growth rates,child labourers,environmental degradation,school age,agriculturea,ecosystem services,discriminated,marine fish,wastewater,greenhouse gases,sustainability,migrants,consumption
12,proteinases,reproductive health,violence against,livelihood,economically,child labour,improved sanitation,primary school,food insecurity,wildlife,human rights,fisheries subsidies,integrated water,sustainability,modern energy,reduce poverty,hazardous wastes
13,chromatography,health care,rights violations,economic development,growth rate,unemployment rate,urban dwellers,schools,agricultural products,ecosystems,poverty reduction,coastal waters,water supply,national policies,clean fuels,globalization,biologically sustainable
14,cytochromes,health,countries landlocked,low income,developed country,growth rates,urban residents,learning outcomes,undernutrition,natural resource,equal rights,oceans,irrigation,conservation efforts,reliable sustainable,remittance,pollution
15,ph values,health systems,safeguarding,resilient agricultural,industrialized,economy,sanitation management,schoolchildren,dietary,forestry,gender sensitive,unregulated fishing,sustainable use,disaster risk,emissions,economies,recycling
16,adenylate cyclase,diseases,discriminated,impoverished,income countries,economies,environmental impact,disadvantaged,hunger,natural resources,patriarchal,ecosystem,environmental degradation,warming,global economy,african countries,global carbon
17,metabolites,malaria control,crime,deprivation,developing regions,employment opportunities,sanitation,development assistance,reduce poverty,natural habitats,womena,seawater,water sources,sustainable,energy,economic growth,emissions
18,metabolism,health services,detention,sustainable development,infrastructure,labour,waste generation,teacher training,agricultural markets,forests wetlands,child marriage,fish stocks,hydrological,reliable sustainable,resource efficiency,export subsidies,natural resource
19,nadphcytochrome,maternal deaths,sexual violence,disaster risk,agricultural productivity,employment,public transport,trained teachers,poverty reduction,vegetation,sexes,ecosystem services,handwashing facilities,national adaptation,global carbon,economic infrastructure,polluting
20,pyruvate,covid pandemic,refugees,working poor,economic,per capita,pollution,early childhood,end hunger,wildlife products,child labour,marine technology,desalination,policy frameworks,waste generation,tariff,waste generated
21,acidity,healthcare,sexual exploitation,per capita,sustainable use,productive employment,managed sanitation,poverty,developing countries,biologically sustainable,national legislation,aquaculture,sustainable development,environmental degradation,consumption,global unemployment,global economy
22,biosynthesis,infectious diseases,discriminatory laws,humanitarian,developed regions,labour organization,sustainable use,inclusive societies,farmers,extinctions,young women,freshwater ecosystems,drinking water,sustainable use,greenhouse gas,world bank,natural resources
23,proteinase,under mortality,unrest,development assistance,economy,worlda workers,local governments,extreme poverty,ending poverty,extinction,discriminatory,overfishing,fresh water,paris agreement,environmental impact,national policies,renewables
24,peptides,illnesses,governance,socioeconomic,real gdp,poverty reduction,sustainable,ending poverty,nutritional,forests,discrimination against,ecological,waste generation,mitigation,developing countries,developing regions,environmental
25,metabolic,healthy lives,individual rights,global unemployment,industries,global population,cities,learners,agricultural export,mountain ecosystems,marriages,oceanographic,developing countries,emissions,fossil fuels,real gdp,eco
26,cytochrome,communicable diseases,violence,income inequality,globalization,growth rate,land degradation,teachers,income countries,environmental impact,women,biodiversity loss,freshwater,conserve,environmentally,product gdp,conserve
27,glutamate,essential health,social protection,inclusive societies,global population,be unemployed,scarcity,developing regions,livestock,forest loss,sexual relations,environmental impact,freshwater ecosystems,co emissions,efficiencies,responsible migration,energy consumption
28,acids,developing countries,internationally reported,incomes,labour productivity,informal employment,sustainability,development goals,food producers,environmental degradation,womens,eutrophication,sustainability,natural disasters,fuels,direct economic,sustainable tourism
29,atp,prevention,victims detected,global population,efficiencies,developed countries,urban,economic development,livelihoods,endangered,discrimination,biologically sustainable,environmental impact,international cooperation,global warming,world trade,renewable
30,aminotyrosine,pandemic has,governments,natural disasters,sustainability,working poor,million inhabitants,youth aged,ending hunger,marine biodiversity,reduce poverty,ecosystems,drought,dioxide emissions,efficiency,exports,sustainably use
31,biogeochemical,skilled health,prisoners,crises,growth,income,sanitation services,socioeconomic,extreme poverty,conserve,empowerment,environmental degradation,ecosystem services,development goals,co emissions,international agreements,dioxide emissions
32,acidosis,through prevention,corruption,disasters,industrys,economically,air pollution,graders,farming,resilient agricultural,developing countries,reef,environmentally,international agreements,use efficiency,international monetary,clean fuels
33,cyproheptadine,malaria,sentencing,mitigation,per capita,reduce poverty,poverty reduction,students,feeding,illicit wildlife,disadvantaged,key biodiversity,sustainable,developing regions,conserve,tariffs,developing countries
34,phospholipids,hiv,victims,pensions,industry,economic,water scarcity,million children,poverty,fauna,reforms,ocean,conservation efforts,national legislation,biofuels,government expenditure,renewable energy
35,phospholipid,health organization,legal framework,risk reduction,environmental impact,incomes,disaster risk,children aged,malnourished,grassland,marriage,seas,disposal,risk reduction,dioxide emissions,global population,product gdp
36,proteins,pandemic,international community,prosperity,sustainable consumption,socioeconomic,municipal,secondary school,diets,million hectares,fertility,biodiversity,waters,greenhouse,electricity,countries,conservation efforts
37,ph optimum,hiv aids,terrorism,refugees,global unemployment,migrant workers,reliable sustainable,developed countries,livelihood,sustainable use,prevalence,sea,poverty reduction,environmentally,biologically sustainable,migrant workers,resource efficiency
38,amino,aids,sub saharan,resilience,world trade,agricultural productivity,per capita,teaching,family farmers,sustainable,reproductive age,reefs,droughts,united nations,fossil fuel,sustainable development,co emissions
39,physiology,vaccinations,global population,scarcity,direct economic,product gdp,reduce poverty,global population,subsistence,biological diversity,minorities,fish,resilient agricultural,emissions intensity,electrification,economic,fossil fuels
40,peptide,disease,homicides,resilient infrastructure,technological,subsistence,hazardous wastes,developing,zero hunger,freshwater ecosystems,predominated,open ocean,pollution,eco,cooking fuels,economy,fossil fuel
41,phosphoglyceric,prevalence,national legislation,poorer,technologies,sustainable development,population living,income countries,food prices,species,female,environmentally,global population,renewables,environmental degradation,developing states,energy efficiency
42,transpeptidase,global population,national policies,mortality rates,productivity,workforce,global population,minimum proficiency,harvesting,habitats,individual rights,fishing,filtration,multilateral agencies,pollution,low income,ecosystem services
43,electrophoresis,illness,discriminatory,covid crisis,resilient infrastructure,labourers,settlements,youth employment,food price,landlocked developing,mutilation cutting,conservation efforts,environmental,mitigation actions,material consumption,livelihoods,pollutants
44,deacetylase,vaccination,child labour,african countries,waste generation,extreme poverty,conservation efforts,children,nutrients,sustainability,trafficking victims,sustainable use,rainwater,resilient agricultural,natural resource,poverty,water scarcity
45,oxidase,life expectancy,legal frameworks,ngos,scarcity,creates jobs,resilient infrastructure,sustainable development,genetic resources,sustainable development,women aged,sustainable,water borne,stakeholders,agricultural productivity,governments,ecological
46,cancerostatics,birth rate,prisoners held,income,sustainable,wages,local disaster,poverty line,landlocked developing,agriculture,forced labour,transboundary waters,reliable sustainable,initiatives,global population,development assistance,greenhouse gas
47,diphosphate,malaria cases,safeguard,preventable diseases,reliable sustainable,direct economic,basic sanitation,african countries,undernourished,neglected tropical,social protection,environmental,per capita,land degradation,climate change,international cooperation,expenditure on
48,phosphate,epidemics,saharan,landlocked developing,technology,domestic work,public spaces,classroom,diet,grasslands,international law,sustainability,hygiene,global economy,per capita,agricultural export,export measures
49,acidification,incidence rate,developed countries,disparities,agricultural sector,industrializing,developing countries,among children,cultivated,environmentally,human trafficking,water resources,sustainable consumption,renewable energy,natural resources,countries landlocked,clean energy
